epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.88039,2.34309,7.60375,2.20454,0.02634,0.50179,0.08646,0.06784,2.13322,7.75161,1.85374,0.00027,0.00027,0.00027
2,12.4689,2.24804,5.15182,2.01909,0.02767,0.4871,0.17697,0.11794,2.13851,7.25658,1.94124,0.000544555,0.000544555,0.000544555
3,16.8902,2.17537,4.0075,1.9903,0.59462,0.15002,0.28501,0.21325,2.08904,5.12367,1.857,0.000813566,0.000813566,0.000813566
4,21.4822,2.04579,3.52936,1.95998,0.5244,0.29184,0.34355,0.265,1.98196,3.75458,1.84193,0.0009703,0.0009703,0.0009703
5,25.9045,1.99468,3.21276,1.96629,0.35261,0.38011,0.30616,0.2326,2.03885,3.42223,1.93372,0.0009604,0.0009604,0.0009604
6,30.9356,1.88681,2.97025,1.9425,0.44641,0.45669,0.3846,0.29847,1.99454,3.0164,1.92238,0.0009505,0.0009505,0.0009505
7,35.3536,1.89006,2.85837,1.93794,0.46881,0.34333,0.31798,0.25102,1.97272,3.23088,1.92636,0.0009406,0.0009406,0.0009406
8,39.7736,1.83639,2.64906,1.92335,0.48996,0.50056,0.48095,0.37519,1.91461,2.46683,1.87958,0.0009307,0.0009307,0.0009307
9,44.4456,1.85091,2.60918,1.91201,0.4573,0.60963,0.5041,0.39901,1.81083,2.4115,1.86274,0.0009208,0.0009208,0.0009208
10,49.1101,1.81275,2.56953,1.92235,0.52763,0.54971,0.50911,0.40174,1.81512,2.30445,1.86236,0.0009109,0.0009109,0.0009109
11,53.7622,1.82616,2.42823,1.91192,0.649,0.55047,0.59667,0.48785,1.76085,1.98511,1.84971,0.000901,0.000901,0.000901
12,58.2457,1.77038,2.36785,1.90879,0.64007,0.54107,0.60686,0.48338,1.7521,2.0399,1.85295,0.0008911,0.0008911,0.0008911
13,62.7073,1.75134,2.20654,1.898,0.6453,0.62064,0.64937,0.53494,1.72109,1.8603,1.84232,0.0008812,0.0008812,0.0008812
14,67.1984,1.74337,2.21916,1.90051,0.63037,0.55866,0.59867,0.485,1.73497,1.95952,1.85594,0.0008713,0.0008713,0.0008713
15,71.7763,1.74571,2.27345,1.89247,0.55727,0.59584,0.55391,0.43957,1.7334,2.08163,1.84089,0.0008614,0.0008614,0.0008614
16,76.2899,1.71249,2.15051,1.88329,0.60287,0.60022,0.61241,0.48821,1.71006,1.95479,1.8518,0.0008515,0.0008515,0.0008515
17,80.8074,1.68,2.09498,1.88055,0.5905,0.61509,0.62508,0.47883,1.72723,1.99558,1.84954,0.0008416,0.0008416,0.0008416
18,85.1968,1.62855,1.95598,1.86286,0.5889,0.66507,0.6497,0.51808,1.72704,1.92565,1.84282,0.0008317,0.0008317,0.0008317
19,89.6175,1.65206,1.93818,1.8636,0.58319,0.64226,0.6084,0.4806,1.73923,1.94891,1.84053,0.0008218,0.0008218,0.0008218
20,93.8493,1.70302,1.89941,1.86898,0.6864,0.59716,0.67365,0.54676,1.74436,1.9287,1.85234,0.0008119,0.0008119,0.0008119
21,98.2564,1.67897,1.8615,1.86985,0.65352,0.66828,0.68642,0.56106,1.67323,1.69007,1.82906,0.000802,0.000802,0.000802
22,102.656,1.64171,1.83666,1.86217,0.6647,0.64383,0.68823,0.55718,1.69595,1.60587,1.82939,0.0007921,0.0007921,0.0007921
23,107.007,1.61716,1.82237,1.86441,0.68776,0.62976,0.70339,0.5807,1.67868,1.72482,1.82782,0.0007822,0.0007822,0.0007822
24,111.419,1.66392,1.87534,1.86792,0.61691,0.6369,0.66858,0.53917,1.68394,2.07369,1.85059,0.0007723,0.0007723,0.0007723
25,116.109,1.62874,1.80277,1.85897,0.64306,0.66625,0.7172,0.57902,1.66122,1.6176,1.83284,0.0007624,0.0007624,0.0007624
26,120.387,1.62004,1.72694,1.86553,0.72391,0.61796,0.69199,0.56074,1.65239,1.71362,1.83297,0.0007525,0.0007525,0.0007525
27,124.746,1.62738,1.71917,1.85356,0.68952,0.64832,0.70037,0.5652,1.66356,1.71115,1.82657,0.0007426,0.0007426,0.0007426
28,129.804,1.5756,1.66884,1.8497,0.736,0.66061,0.74307,0.60568,1.65388,1.58024,1.8315,0.0007327,0.0007327,0.0007327
29,134.089,1.6078,1.65736,1.83957,0.67028,0.6759,0.70894,0.58127,1.6338,1.63699,1.81756,0.0007228,0.0007228,0.0007228
30,138.725,1.55307,1.63079,1.84534,0.58517,0.65425,0.64021,0.51758,1.68911,1.8535,1.82848,0.0007129,0.0007129,0.0007129
31,143.529,1.56006,1.61968,1.84178,0.78587,0.5929,0.72133,0.58418,1.65028,1.57948,1.83055,0.000703,0.000703,0.000703
32,147.874,1.58225,1.63867,1.84677,0.67335,0.69633,0.74053,0.61366,1.61074,1.5611,1.81949,0.0006931,0.0006931,0.0006931
33,152.24,1.58473,1.63318,1.84423,0.68008,0.68804,0.72445,0.59842,1.6102,1.53123,1.81422,0.0006832,0.0006832,0.0006832
34,156.591,1.51953,1.54284,1.83391,0.68243,0.68497,0.7508,0.61769,1.59868,1.55589,1.80975,0.0006733,0.0006733,0.0006733
35,161.153,1.57279,1.57277,1.82604,0.69804,0.65259,0.72427,0.59481,1.63031,1.67421,1.81681,0.0006634,0.0006634,0.0006634
36,165.589,1.54701,1.55147,1.8457,0.65541,0.65211,0.71548,0.5843,1.60789,1.72836,1.80993,0.0006535,0.0006535,0.0006535
37,170.016,1.5691,1.54852,1.83202,0.75415,0.68081,0.7638,0.61918,1.64856,1.4931,1.8244,0.0006436,0.0006436,0.0006436
38,174.452,1.52124,1.47901,1.82165,0.75354,0.63106,0.74418,0.61408,1.59058,1.49112,1.81103,0.0006337,0.0006337,0.0006337
39,178.698,1.54055,1.48304,1.82118,0.72021,0.67514,0.74551,0.61407,1.61385,1.52455,1.81303,0.0006238,0.0006238,0.0006238
40,183.041,1.54685,1.47688,1.82799,0.67117,0.75704,0.77085,0.63002,1.61941,1.43557,1.81418,0.0006139,0.0006139,0.0006139
41,187.326,1.52203,1.46286,1.82464,0.74013,0.68642,0.77988,0.64086,1.60409,1.45557,1.80177,0.000604,0.000604,0.000604
42,191.745,1.51539,1.45771,1.82831,0.74362,0.64852,0.73228,0.59625,1.59436,1.57365,1.80396,0.0005941,0.0005941,0.0005941
43,196.111,1.52575,1.4479,1.81448,0.70535,0.70278,0.7592,0.62004,1.58096,1.449,1.79641,0.0005842,0.0005842,0.0005842
44,200.868,1.51512,1.38754,1.81558,0.74274,0.66583,0.75385,0.62711,1.60861,1.52767,1.80866,0.0005743,0.0005743,0.0005743
45,205.442,1.50851,1.36643,1.80767,0.69071,0.70185,0.74316,0.60517,1.58124,1.46121,1.803,0.0005644,0.0005644,0.0005644
46,210.178,1.49299,1.36266,1.80442,0.78524,0.68638,0.7921,0.6435,1.59957,1.45001,1.8169,0.0005545,0.0005545,0.0005545
47,214.374,1.49978,1.36975,1.8136,0.7272,0.68518,0.76882,0.63086,1.57345,1.42327,1.805,0.0005446,0.0005446,0.0005446
48,219.008,1.47684,1.35394,1.80881,0.74435,0.69679,0.78577,0.64863,1.57945,1.40899,1.80228,0.0005347,0.0005347,0.0005347
49,223.288,1.47091,1.32967,1.81479,0.7689,0.67915,0.78408,0.63955,1.58289,1.41082,1.80116,0.0005248,0.0005248,0.0005248
50,227.538,1.48642,1.34141,1.80858,0.7081,0.73963,0.77678,0.64448,1.5646,1.40988,1.79753,0.0005149,0.0005149,0.0005149
51,232.041,1.46694,1.33881,1.81071,0.7038,0.71853,0.77019,0.63463,1.56009,1.41536,1.79721,0.000505,0.000505,0.000505
52,236.595,1.46726,1.2891,1.80497,0.73397,0.68726,0.76781,0.62421,1.58094,1.44525,1.80282,0.0004951,0.0004951,0.0004951
53,241.427,1.44067,1.26209,1.79915,0.72467,0.71685,0.73558,0.59435,1.57676,1.59884,1.812,0.0004852,0.0004852,0.0004852
54,245.774,1.44243,1.27448,1.79288,0.72117,0.69243,0.75989,0.62181,1.59065,1.50245,1.81783,0.0004753,0.0004753,0.0004753
55,250.16,1.43778,1.27717,1.7884,0.72415,0.74983,0.79313,0.64231,1.59676,1.4199,1.81723,0.0004654,0.0004654,0.0004654
56,254.743,1.47765,1.27697,1.80149,0.75021,0.71487,0.78132,0.63245,1.6121,1.4147,1.82354,0.0004555,0.0004555,0.0004555
57,259.134,1.43829,1.24695,1.79706,0.74761,0.6844,0.76982,0.64363,1.56967,1.48787,1.79797,0.0004456,0.0004456,0.0004456
58,264.178,1.43595,1.22537,1.79268,0.73782,0.69123,0.76453,0.64166,1.52392,1.47665,1.79093,0.0004357,0.0004357,0.0004357
59,269.314,1.44227,1.22709,1.78918,0.74611,0.69917,0.75973,0.63163,1.58458,1.46978,1.80875,0.0004258,0.0004258,0.0004258
60,273.962,1.42459,1.20989,1.79353,0.73959,0.73802,0.78965,0.64841,1.56496,1.39912,1.80557,0.0004159,0.0004159,0.0004159
61,278.691,1.44571,1.2226,1.79086,0.77997,0.71074,0.79112,0.65054,1.5406,1.40344,1.80366,0.000406,0.000406,0.000406
62,283.47,1.43787,1.18471,1.78404,0.72668,0.74529,0.78368,0.64248,1.55489,1.4324,1.79801,0.0003961,0.0003961,0.0003961
63,288.226,1.42883,1.18645,1.78146,0.76974,0.73941,0.79332,0.66146,1.53581,1.41189,1.78872,0.0003862,0.0003862,0.0003862
64,293.008,1.39141,1.17185,1.78886,0.77287,0.70317,0.78256,0.64781,1.55139,1.41237,1.7958,0.0003763,0.0003763,0.0003763
65,297.701,1.42047,1.18636,1.77792,0.7482,0.71881,0.78395,0.6466,1.55141,1.46544,1.79721,0.0003664,0.0003664,0.0003664
66,302.348,1.43141,1.17691,1.78211,0.80516,0.67671,0.77726,0.64595,1.53175,1.41611,1.79263,0.0003565,0.0003565,0.0003565
67,307.225,1.38407,1.17549,1.77498,0.75945,0.70213,0.78666,0.65297,1.53858,1.40697,1.80485,0.0003466,0.0003466,0.0003466
68,312.236,1.37377,1.1326,1.77719,0.77258,0.66563,0.75897,0.62738,1.54447,1.52445,1.80454,0.0003367,0.0003367,0.0003367
69,316.975,1.35909,1.13631,1.77707,0.7722,0.7046,0.78467,0.65666,1.53361,1.40998,1.79993,0.0003268,0.0003268,0.0003268
70,321.666,1.38848,1.14092,1.77729,0.79342,0.68348,0.79229,0.66031,1.52771,1.37292,1.80203,0.0003169,0.0003169,0.0003169
71,326.091,1.37672,1.11234,1.77154,0.82643,0.69741,0.80429,0.66851,1.52871,1.35078,1.7988,0.000307,0.000307,0.000307
72,330.401,1.39162,1.12713,1.77047,0.71816,0.7055,0.75527,0.62604,1.51719,1.49356,1.79904,0.0002971,0.0002971,0.0002971
73,334.926,1.38796,1.1395,1.77777,0.78766,0.70916,0.79304,0.66565,1.50927,1.39756,1.79042,0.0002872,0.0002872,0.0002872
74,339.224,1.39995,1.12406,1.76852,0.77008,0.73046,0.79301,0.65642,1.54411,1.43819,1.80469,0.0002773,0.0002773,0.0002773
75,343.581,1.42242,1.13612,1.77294,0.73957,0.72487,0.78771,0.65862,1.52581,1.35503,1.79283,0.0002674,0.0002674,0.0002674
76,348.282,1.39098,1.11197,1.76541,0.77258,0.72003,0.79485,0.65915,1.52525,1.36298,1.80218,0.0002575,0.0002575,0.0002575
77,352.734,1.3584,1.09785,1.76654,0.75957,0.72858,0.79326,0.65644,1.52064,1.34782,1.79527,0.0002476,0.0002476,0.0002476
78,357.228,1.37427,1.08651,1.76422,0.77993,0.71562,0.79659,0.66004,1.52256,1.32101,1.7974,0.0002377,0.0002377,0.0002377
79,361.558,1.37151,1.08469,1.76927,0.81123,0.68638,0.80195,0.6657,1.51429,1.32838,1.80015,0.0002278,0.0002278,0.0002278
80,366.368,1.38587,1.09893,1.75997,0.83265,0.71276,0.81831,0.67832,1.51894,1.29603,1.80934,0.0002179,0.0002179,0.0002179
81,370.705,1.34065,1.05426,1.76298,0.79851,0.72583,0.81128,0.6821,1.49885,1.33855,1.79553,0.000208,0.000208,0.000208
82,375,1.29748,1.0101,1.75363,0.76149,0.75484,0.79069,0.66454,1.49565,1.3239,1.79638,0.0001981,0.0001981,0.0001981
83,379.359,1.30737,1.02823,1.7612,0.75946,0.75346,0.81238,0.68091,1.49945,1.30725,1.79667,0.0001882,0.0001882,0.0001882
84,383.814,1.31916,1.04641,1.75639,0.77609,0.73304,0.81592,0.68046,1.52181,1.29732,1.80582,0.0001783,0.0001783,0.0001783
85,388.308,1.3186,1.01444,1.75687,0.77834,0.7157,0.80133,0.66844,1.52176,1.30431,1.80813,0.0001684,0.0001684,0.0001684
86,393.073,1.4023,1.07476,1.76591,0.8042,0.69527,0.79491,0.6608,1.52173,1.29647,1.80937,0.0001585,0.0001585,0.0001585
87,397.535,1.30995,1.00548,1.75222,0.80264,0.70464,0.80917,0.67556,1.50233,1.31021,1.80291,0.0001486,0.0001486,0.0001486
88,402.025,1.317,1.00433,1.75467,0.75611,0.74583,0.8035,0.67099,1.49711,1.32724,1.8039,0.0001387,0.0001387,0.0001387
89,406.496,1.30364,0.99033,1.75175,0.7772,0.75319,0.81022,0.67993,1.49252,1.31486,1.80403,0.0001288,0.0001288,0.0001288
90,410.873,1.33836,1.00257,1.75099,0.79473,0.70925,0.80808,0.68065,1.48076,1.3102,1.7953,0.0001189,0.0001189,0.0001189
91,430.793,1.1995,0.93413,1.70003,0.77796,0.70995,0.78709,0.6669,1.49355,1.50164,1.79546,0.000109,0.000109,0.000109
92,435.492,1.15511,0.85792,1.69429,0.74537,0.69706,0.78194,0.65128,1.5085,1.34638,1.802,9.91e-05,9.91e-05,9.91e-05
93,439.922,1.16577,0.85154,1.68675,0.80085,0.69769,0.79248,0.66395,1.49771,1.32818,1.79901,8.92e-05,8.92e-05,8.92e-05
94,444.103,1.16076,0.82701,1.68213,0.74504,0.73621,0.78423,0.65679,1.49588,1.34928,1.79627,7.93e-05,7.93e-05,7.93e-05
95,448.577,1.16867,0.82032,1.68321,0.76141,0.70297,0.78256,0.65669,1.49733,1.3617,1.80008,6.94e-05,6.94e-05,6.94e-05
96,452.847,1.16714,0.8229,1.68979,0.74377,0.74612,0.7868,0.66059,1.49933,1.35759,1.80494,5.95e-05,5.95e-05,5.95e-05
97,457.136,1.16434,0.81725,1.67701,0.74717,0.73245,0.78733,0.65933,1.49392,1.36263,1.79914,4.96e-05,4.96e-05,4.96e-05
98,461.47,1.12105,0.7815,1.68147,0.75843,0.74371,0.79465,0.66712,1.48794,1.35266,1.79287,3.97e-05,3.97e-05,3.97e-05
99,466.166,1.15531,0.81381,1.67918,0.77338,0.73122,0.79731,0.66941,1.48884,1.33292,1.79599,2.98e-05,2.98e-05,2.98e-05
100,470.356,1.13928,0.79349,1.67756,0.77374,0.71676,0.799,0.66843,1.49153,1.32514,1.79585,1.99e-05,1.99e-05,1.99e-05
