epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.16754,2.93373,6.54693,2.63052,0,0,0,0,nan,nan,nan,0.0757,0.0027,0.0027
2,11.8228,2.69433,4.07244,2.4468,0.0056,0.00388,0.00282,0.00091,nan,nan,nan,0.0504987,0.00549866,0.00549866
3,16.2399,2.66223,3.68057,2.45014,0,0,0,0,nan,nan,nan,0.0252919,0.00829189,0.00829189
4,20.5817,2.61549,3.49679,2.40958,0.01685,0.07559,0.00695,0.00242,6.88291,inf,7.42908,0.00997803,0.00997803,0.00997803
5,24.8798,2.49252,3.18742,2.37083,0.03817,0.09301,0.03178,0.01728,4.97858,17.7324,3.72633,0.00996097,0.00996097,0.00996097
6,29.525,2.45069,2.92862,2.32854,0.1398,0.12944,0.05433,0.03101,3.68185,14.9722,3.08915,0.00993906,0.00993906,0.00993906
7,33.7332,2.42751,2.78627,2.31758,0.25617,0.12375,0.06284,0.0338,3.7225,8.16607,2.96364,0.00991232,0.00991232,0.00991232
8,38.2324,2.39059,2.70314,2.29014,0.37297,0.23223,0.21749,0.1368,3.20591,6.84547,2.66003,0.00988079,0.00988079,0.00988079
9,42.5081,2.35553,2.64348,2.26908,0.07732,0.2484,0.049,0.02966,3.37981,10.143,2.70767,0.00984449,0.00984449,0.00984449
10,46.8264,2.34532,2.61127,2.29109,0.16856,0.22782,0.09374,0.05212,3.25084,18.0041,2.58567,0.00980345,0.00980345,0.00980345
11,51.3958,2.3495,2.52949,2.27327,0.42208,0.285,0.23611,0.15588,2.88842,9.0486,2.41167,0.00975773,0.00975773,0.00975773
12,55.6968,2.33904,2.45716,2.2629,0.44727,0.39231,0.34555,0.21793,2.87107,4.05133,2.35347,0.00970736,0.00970736,0.00970736
13,60.0143,2.27347,2.35328,2.2327,0.26306,0.37153,0.21624,0.13431,3.17808,5.28248,2.58446,0.00965239,0.00965239,0.00965239
14,64.3064,2.26461,2.41185,2.24535,0.51416,0.54815,0.49127,0.28846,3.15083,3.24394,2.48708,0.00959289,0.00959289,0.00959289
15,68.7478,2.27946,2.39258,2.24488,0.41734,0.49018,0.41331,0.23648,3.3985,3.97513,2.63501,0.00952889,0.00952889,0.00952889
16,73.0456,2.20718,2.37491,2.20856,0.38692,0.44184,0.26232,0.14847,3.272,7.58368,2.50402,0.00946048,0.00946048,0.00946048
17,77.4781,2.22828,2.34803,2.20947,0.57546,0.50793,0.49315,0.31414,2.88751,2.89082,2.32971,0.00938772,0.00938772,0.00938772
18,81.8169,2.16593,2.1881,2.18181,0.45829,0.37691,0.35103,0.19492,3.53783,4.09254,2.62806,0.00931067,0.00931067,0.00931067
19,86.1593,2.166,2.10223,2.17864,0.65479,0.60843,0.63295,0.41684,2.85522,2.24973,2.29451,0.00922942,0.00922942,0.00922942
20,90.46,2.19269,2.0646,2.17635,0.60398,0.54463,0.555,0.32484,3.2421,2.83314,2.48815,0.00914405,0.00914405,0.00914405
21,94.8693,2.13444,2.02185,2.17016,0.58799,0.5044,0.52799,0.29903,3.3397,3.00889,2.50943,0.00905463,0.00905463,0.00905463
22,99.2979,2.17891,2.03495,2.18352,0.5904,0.47575,0.47444,0.29647,3.14685,3.26897,2.3653,0.00896127,0.00896127,0.00896127
23,103.682,2.13579,1.99239,2.17053,0.59386,0.50532,0.54893,0.35736,2.87288,2.54053,2.29376,0.00886404,0.00886404,0.00886404
