epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.04224,3.62334,8.89995,2.53339,0.00046,0.02521,0.00031,8e-05,3.65149,7.98162,2.9278,0.0928,0.0008,0.0008
2,5.38058,3.23584,5.01811,2.30748,0,0,0,0,nan,nan,nan,0.0846996,0.00169958,0.00169958
3,7.68301,3.08367,3.43496,2.42638,0,0,0,0,nan,nan,nan,0.0765975,0.00259746,0.00259746
4,9.93254,2.95683,2.93699,2.34523,0,0,0,0,nan,nan,nan,0.0684923,0.00349231,0.00349231
5,12.0209,2.93142,2.65465,2.32257,0,0,0,0,nan,nan,nan,0.0603828,0.00438283,0.00438283
6,14.1908,2.93534,2.67346,2.37228,0,0,0,0,nan,nan,nan,0.0522677,0.0052677,0.0052677
7,16.4643,2.87364,2.46561,2.30752,0,0,0,0,nan,nan,nan,0.0441456,0.00614564,0.00614564
8,18.6072,2.87073,2.28042,2.30972,0,0,0,0,nan,nan,nan,0.0360154,0.00701536,0.00701536
9,20.7451,2.90613,2.3711,2.33474,7e-05,0.00833,3e-05,0,7.25153,inf,16.831,0.0278756,0.00787559,0.00787559
10,22.9222,2.88984,2.27758,2.36,0.00012,0.02899,6e-05,2e-05,6.37874,inf,20.4157,0.0197251,0.00872507,0.00872507
11,25.0046,2.84646,2.43316,2.34192,8e-05,0.01449,3e-05,0,7.22422,inf,19.0246,0.0115626,0.00956258,0.00956258
12,27.2253,2.85279,2.31102,2.30671,0.04746,0.09167,0.04084,0.0086,6.23457,inf,5.73182,0.00970736,0.00970736,0.00970736
13,29.3042,2.83194,2.16771,2.30289,0.52981,0.175,0.16995,0.03636,6.00511,41.1305,4.24343,0.00965239,0.00965239,0.00965239
14,31.375,2.79275,2.13364,2.28321,0.21626,0.12017,0.1564,0.06406,5.72863,15.8516,3.98621,0.00959289,0.00959289,0.00959289
15,33.4751,2.89492,2.1717,2.31463,0.25877,0.17775,0.2224,0.08083,4.69703,9.66805,3.34506,0.00952889,0.00952889,0.00952889
16,35.5925,2.92155,2.11882,2.31913,0.90117,0.23333,0.32368,0.1676,4.05054,30.1512,2.94921,0.00946048,0.00946048,0.00946048
17,37.6635,2.88759,2.12991,2.35398,0.08223,0.48247,0.06946,0.03296,4.5478,83.9462,3.16813,0.00938772,0.00938772,0.00938772
18,39.7282,2.80709,1.97857,2.31218,0.2258,0.17016,0.14875,0.08233,4.0221,13.2381,2.93283,0.00931067,0.00931067,0.00931067
19,41.9334,2.79786,1.96448,2.32622,0.11349,0.24747,0.07861,0.03156,3.90026,50.8767,2.80464,0.00922942,0.00922942,0.00922942
20,44.0156,2.69054,1.89044,2.23702,0.61292,0.37579,0.44869,0.26015,3.26081,6.99375,2.5396,0.00914405,0.00914405,0.00914405
21,46.1037,2.72439,1.93537,2.26442,0.56071,0.60398,0.52023,0.31698,3.24341,4.26985,2.70741,0.00905463,0.00905463,0.00905463
22,48.2113,2.72647,1.83497,2.23235,0.5516,0.51337,0.44054,0.2607,3.58731,4.82874,3.01866,0.00896127,0.00896127,0.00896127
23,50.2618,2.64832,1.81414,2.20901,0.71205,0.52342,0.57437,0.34447,3.1299,3.55093,2.57226,0.00886404,0.00886404,0.00886404
24,52.4605,2.64489,1.8256,2.20231,0.6058,0.58043,0.61717,0.33157,3.21445,3.00395,2.52906,0.00876305,0.00876305,0.00876305
25,54.5346,2.65286,1.81732,2.23037,0.64822,0.73644,0.69761,0.38292,3.23801,2.43698,2.53106,0.00865839,0.00865839,0.00865839
26,56.6004,2.70024,1.85656,2.26311,0.71922,0.69457,0.75633,0.4289,2.99256,2.27294,2.35679,0.00855018,0.00855018,0.00855018
27,58.6404,2.67918,1.7266,2.21165,0.6357,0.63414,0.67527,0.39847,2.84863,2.57619,2.29463,0.00843851,0.00843851,0.00843851
28,60.7304,2.59207,1.72409,2.19809,0.65046,0.65564,0.63881,0.36206,2.94463,2.38602,2.29883,0.00832349,0.00832349,0.00832349
29,62.7952,2.62537,1.76476,2.21053,0.52598,0.53408,0.47943,0.29379,3.34653,5.07586,2.84798,0.00820525,0.00820525,0.00820525
30,65.0054,2.62272,1.73477,2.20315,0.56321,0.72085,0.66374,0.39435,2.91106,2.93683,2.32592,0.00808389,0.00808389,0.00808389
31,67.1495,2.64651,1.70639,2.21843,0.61734,0.6622,0.68664,0.40614,2.82573,1.97379,2.29497,0.00795954,0.00795954,0.00795954
32,69.2132,2.63384,1.61118,2.20028,0.7547,0.61566,0.72514,0.37048,3.38226,2.37981,2.56501,0.00783231,0.00783231,0.00783231
33,71.3013,2.57039,1.68524,2.18195,0.71288,0.71502,0.73882,0.41391,2.98009,1.92881,2.37192,0.00770234,0.00770234,0.00770234
34,73.3926,2.58328,1.6957,2.19597,0.64455,0.70961,0.75554,0.42407,2.96619,1.93899,2.35722,0.00756976,0.00756976,0.00756976
35,75.4433,2.5382,1.65077,2.16581,0.66206,0.79341,0.7752,0.4413,2.85114,1.77088,2.3114,0.00743468,0.00743468,0.00743468
36,77.6847,2.55601,1.67176,2.19481,0.66589,0.71479,0.67962,0.38214,2.89649,2.08304,2.29774,0.00729725,0.00729725,0.00729725
37,79.841,2.51927,1.6329,2.17403,0.67766,0.82277,0.74926,0.42559,2.85633,1.73654,2.32081,0.00715761,0.00715761,0.00715761
38,81.9442,2.57068,1.56325,2.16197,0.70335,0.75684,0.72626,0.42991,2.85202,1.93221,2.2796,0.00701588,0.00701588,0.00701588
39,84.0096,2.57956,1.57686,2.21314,0.7118,0.70715,0.71667,0.42682,2.88506,2.32118,2.31253,0.00687222,0.00687222,0.00687222
40,86.1224,2.46405,1.55494,2.14084,0.72164,0.60816,0.68465,0.41657,2.79893,2.03823,2.25121,0.00672675,0.00672675,0.00672675
41,88.1794,2.48784,1.57582,2.15031,0.69004,0.65348,0.69866,0.43289,2.74547,2.00539,2.22275,0.00657963,0.00657963,0.00657963
42,90.4056,2.51254,1.52538,2.14339,0.72997,0.68234,0.71933,0.41524,2.98507,1.98659,2.36273,0.00643101,0.00643101,0.00643101
43,92.4683,2.43848,1.5021,2.14865,0.73417,0.70025,0.70837,0.41314,2.92533,2.36876,2.35825,0.00628101,0.00628101,0.00628101
44,94.5875,2.49223,1.50486,2.15948,0.75857,0.62361,0.67576,0.43125,2.72931,3.40054,2.25695,0.00612981,0.00612981,0.00612981
45,96.6771,2.46311,1.48558,2.15205,0.69163,0.78503,0.71789,0.42719,2.82045,2.2366,2.27585,0.00597754,0.00597754,0.00597754
46,98.5805,2.5067,1.49488,2.15595,0.6494,0.74625,0.68421,0.40251,2.78973,2.04015,2.24474,0.00582435,0.00582435,0.00582435
47,99.7308,2.47664,1.44735,2.13616,0.79512,0.73586,0.81469,0.50078,2.72718,1.90684,2.20332,0.0056704,0.0056704,0.0056704
48,100.871,2.51634,1.49252,2.1814,0.68385,0.69439,0.72894,0.37839,3.18907,2.11709,2.40707,0.00551584,0.00551584,0.00551584
49,102.091,2.4633,1.47786,2.16249,0.70457,0.75418,0.75269,0.44118,2.86899,1.87457,2.28619,0.00536081,0.00536081,0.00536081
