epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.85626,3.57512,8.47622,2.57015,0.00152,0.08403,0.02197,0.00586,3.07447,7.47343,2.39527,0.0919,0.0009,0.0009
2,3.26963,3.08089,4.47014,2.27641,5e-05,0.01449,3e-05,1e-05,nan,nan,nan,0.0828995,0.00189954,0.00189954
3,4.66976,3.00736,3.11652,2.34514,0,0,0,0,nan,nan,nan,0.0738972,0.00289717,0.00289717
4,5.98893,2.94582,2.90662,2.34738,0.00021,0.0056,0.00011,4e-05,nan,nan,nan,0.0648914,0.00389143,0.00389143
5,7.33176,2.9296,2.71061,2.30367,7e-05,0.00833,4e-05,1e-05,nan,nan,nan,0.0558809,0.00488087,0.00488087
6,8.77249,2.79869,2.68158,2.31698,0,0,0,0,nan,nan,nan,0.046864,0.00586404,0.00586404
7,10.9998,2.95738,2.7343,2.31959,0,0,0,0,nan,nan,nan,0.0378395,0.0068395,0.0068395
8,13.2698,2.83737,2.66195,2.28973,0,0,0,0,nan,nan,nan,0.0288058,0.00780582,0.00780582
9,15.5065,2.92211,2.47444,2.32667,0,0,0,0,6.32502,inf,63.3556,0.0197616,0.00876159,0.00876159
10,17.8991,2.80932,2.37001,2.30045,0,0,0,0,nan,nan,nan,0.0107054,0.00970542,0.00970542
11,20.1783,2.90236,2.43045,2.33833,8e-05,0.00833,4e-05,0,nan,nan,nan,0.00975773,0.00975773,0.00975773
12,22.459,2.84721,2.31217,2.31203,8e-05,0.00833,5e-05,1e-05,nan,nan,nan,0.00970736,0.00970736,0.00970736
13,24.8103,2.80971,2.23867,2.26109,0,0,0,0,nan,nan,nan,0.00965239,0.00965239,0.00965239
14,27.0938,2.76016,2.20637,2.26651,5e-05,0.00833,3e-05,0,nan,nan,nan,0.00959289,0.00959289,0.00959289
15,29.3677,2.69178,2.20437,2.22098,0,0,0,0,nan,nan,nan,0.00952889,0.00952889,0.00952889
16,31.7952,2.77603,2.10431,2.25161,0.42232,0.07038,0.24421,0.14698,3.81781,35.5017,2.7695,0.00946048,0.00946048,0.00946048
17,34.1325,2.73377,2.05346,2.27342,0.63273,0.10446,0.24578,0.14936,4.7258,7.71152,3.48519,0.00938772,0.00938772,0.00938772
