frame,n_ripe,n_unripe,total_ripe,total_unripe
0,0,0,0,0
1,0,3,0,0
2,0,3,0,0
3,1,4,0,0
4,1,4,0,0
5,1,3,0,0
6,1,3,0,0
7,1,3,0,0
8,1,3,0,0
9,0,3,0,0
10,1,3,0,0
11,1,3,0,0
12,1,3,0,0
13,1,4,0,0
14,1,4,0,0
15,0,3,0,0
16,1,4,0,0
17,1,3,0,0
18,1,3,0,0
19,1,3,0,0
20,1,2,0,0
21,1,3,0,0
22,1,3,0,0
23,1,3,0,0
24,1,4,0,3
25,0,3,0,3
26,1,5,0,5
27,1,4,0,5
28,0,3,0,5
29,1,3,0,5
30,1,4,0,6
31,1,5,0,6
32,1,4,0,6
33,1,4,0,6
34,1,3,0,6
35,1,2,0,6
36,1,3,0,6
37,1,5,0,7
38,1,3,0,7
39,0,4,0,7
40,0,4,0,8
41,0,4,0,8
42,0,5,0,8
43,0,4,0,8
44,0,4,0,8
45,1,5,0,8
46,1,5,0,8
47,1,5,0,8
48,1,5,0,8
49,1,4,0,8
50,1,5,0,8
51,1,4,0,8
52,1,5,0,9
53,1,5,0,9
54,1,6,0,9
55,1,6,0,9
56,1,6,0,9
57,2,5,0,9
58,1,6,0,9
59,2,6,0,9
60,2,7,0,10
61,2,7,1,10
62,2,5,1,10
63,2,7,1,11
64,2,8,1,11
65,2,6,1,11
66,2,6,1,11
67,2,7,1,12
68,2,7,1,12
69,2,7,1,12
70,2,8,1,13
71,2,7,1,13
72,2,6,1,13
73,2,7,1,13
74,2,7,1,13
75,2,7,1,13
76,2,7,1,13
77,2,7,1,13
78,1,7,1,13
79,2,7,1,13
80,2,8,1,13
81,2,8,1,13
82,2,8,1,13
83,2,8,1,13
84,2,7,1,13
85,2,9,1,13
86,1,9,1,13
87,2,8,1,13
88,2,13,1,14
89,2,13,1,15
90,1,11,1,15
91,2,13,1,15
92,2,12,1,16
93,2,12,1,16
94,2,12,1,19
95,2,11,1,19
96,3,9,1,19
97,2,10,1,19
98,2,11,2,21
99,3,10,3,21
100,3,10,3,22
101,3,10,3,23
102,3,10,3,23
103,2,10,3,23
104,2,10,3,23
105,2,11,3,23
106,2,11,4,23
107,2,11,4,23
108,2,11,4,23
109,2,11,4,23
110,2,11,4,23
111,1,10,4,23
112,2,9,5,23
113,2,12,5,23
114,2,10,5,23
115,1,13,5,24
116,2,12,5,24
117,1,13,5,24
118,2,15,5,24
119,2,14,5,24
120,2,13,5,24
121,2,15,5,24
122,2,14,5,25
123,2,12,5,26
124,1,13,5,27
125,1,15,5,27
126,1,15,5,28
127,0,16,5,30
128,1,16,5,31
129,1,15,5,31
130,0,16,5,32
131,0,16,5,33
132,1,17,5,34
133,0,16,5,34
134,0,16,5,35
135,0,16,5,35
136,0,16,5,35
137,0,16,5,35
138,1,14,5,35
139,0,15,5,35
140,1,15,5,35
141,1,16,5,35
142,1,15,5,35
143,1,13,5,35
144,1,13,5,35
145,1,12,5,35
146,1,13,5,35
147,0,12,5,35
148,0,13,5,35
149,1,12,5,35
150,1,11,5,36
151,1,10,5,36
152,1,11,5,37
153,1,9,5,37
154,1,9,5,37
155,1,8,5,38
156,0,6,5,38
157,0,6,5,38
158,0,7,5,39
159,0,7,5,39
160,0,7,5,40
161,0,8,5,41
162,0,8,5,41
163,0,8,5,42
164,0,9,5,43
165,0,9,5,43
166,0,10,5,44
167,1,8,5,44
168,1,5,5,44
169,1,5,5,44
170,1,6,5,46
171,1,4,5,46
172,1,4,5,46
173,1,4,5,46
174,1,5,5,46
175,1,4,5,46
176,1,3,6,46
177,1,4,6,46
178,1,4,6,47
179,1,6,6,47
180,1,6,6,47
181,1,6,6,47
182,1,6,6,47
183,1,6,6,47
184,1,4,6,47
185,1,4,6,48
186,1,4,6,48
187,1,5,6,49
188,1,4,6,50
189,1,4,6,50
190,0,3,6,50
191,1,3,7,50
192,1,3,7,50
193,1,3,7,50
194,1,3,7,50
195,1,3,7,50
196,0,3,7,50
197,1,2,7,50
198,1,2,7,50
199,1,2,7,50
200,1,2,7,50
