epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.1181,1.09915,2.20148,0.00243,0.8008,0.79624,0.85197,0.64107,0.90463,1.21246,0.00296,0.000545182,0.000545182,0.000545182
2,43.0365,1.03746,0.82969,0.00227,0.75138,0.77869,0.82905,0.6315,0.94445,0.88659,0.00315,0.00108995,0.00108995,0.00108995
3,59.4582,1.0598,0.75937,0.0023,0.73331,0.76652,0.80642,0.60246,0.95077,1.11455,0.00315,0.00162372,0.00162372,0.00162372
4,77.6069,1.04403,0.7673,0.00228,0.81433,0.80666,0.87291,0.64395,1.03592,1.2807,0.0035,0.00161749,0.00161749,0.00161749
5,93.6721,1.04761,0.69806,0.00223,0.83924,0.84449,0.90386,0.70429,0.91566,0.62487,0.003,0.00160099,0.00160099,0.00160099
6,109.317,1.00368,0.65042,0.00219,0.86373,0.79738,0.8919,0.65219,1.06922,0.70856,0.00359,0.00158448,0.00158448,0.00158448
7,124.585,1.00575,0.63427,0.00217,0.79869,0.78459,0.87814,0.66727,0.94412,0.97015,0.00309,0.00156798,0.00156798,0.00156798
8,139.521,0.98714,0.62342,0.00214,0.85714,0.82587,0.89629,0.68221,0.95454,0.70357,0.00316,0.00155148,0.00155148,0.00155148
9,154.754,0.98032,0.59688,0.0021,0.78294,0.76997,0.84966,0.65194,0.9328,0.95993,0.00313,0.00153497,0.00153497,0.00153497
10,170.282,0.97537,0.59263,0.00208,0.8465,0.83359,0.90187,0.70038,0.88188,0.64002,0.00292,0.00151847,0.00151847,0.00151847
11,185.447,0.9667,0.57705,0.00207,0.83722,0.85281,0.91526,0.71474,0.88623,0.5937,0.00294,0.00150197,0.00150197,0.00150197
12,201.259,0.94138,0.5605,0.00201,0.81203,0.86002,0.90787,0.71365,0.88099,0.67144,0.0029,0.00148546,0.00148546,0.00148546
13,216.503,0.94625,0.58772,0.00202,0.82751,0.84427,0.90562,0.71504,0.88421,0.6518,0.00291,0.00146896,0.00146896,0.00146896
14,231.902,0.9602,0.56612,0.00202,0.88176,0.8144,0.91332,0.69432,0.96566,0.6682,0.00327,0.00145246,0.00145246,0.00145246
15,246.997,0.93457,0.54888,0.00199,0.84778,0.83304,0.90815,0.71049,0.87605,0.71219,0.00288,0.00143595,0.00143595,0.00143595
