epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.6147,1.61546,1.92984,0.00389,0,0,0,0,nan,nan,nan,0.00382353,0.00382353,0.0655882
2,29.6825,1.46698,1.03937,0.00338,0.59544,0.15777,0.21688,0.13142,nan,nan,nan,0.00735386,0.00735386,0.030148
3,43.7513,1.53137,1.00475,0.00355,0.28803,0.62202,0.3329,0.17389,nan,nan,nan,0.00905,0.00905,0.00905
4,57.9566,1.35963,0.93271,0.00311,0.73999,0.69711,0.79252,0.5093,1.40722,3.95303,0.00512,0.008575,0.008575,0.008575
5,72.128,1.26982,0.82696,0.00277,0.78399,0.68843,0.79428,0.52707,1.38486,1.23041,0.00508,0.0081,0.0081,0.0081
6,86.3956,1.25483,0.82348,0.00286,0.77048,0.76994,0.8231,0.59047,1.12863,0.86403,0.00393,0.007625,0.007625,0.007625
7,100.871,1.16511,0.82529,0.00259,0.71852,0.64673,0.75142,0.52693,1.17681,2.43426,0.00405,0.00715,0.00715,0.00715
8,115.125,1.15256,0.76604,0.00255,0.79769,0.78526,0.84887,0.6066,1.13449,0.90214,0.00392,0.006675,0.006675,0.006675
9,129.428,1.15635,0.72082,0.00255,0.82588,0.80399,0.87396,0.6333,1.08211,0.91679,0.00373,0.0062,0.0062,0.0062
10,143.682,1.12833,0.69388,0.00245,0.76934,0.8012,0.85578,0.62071,1.1133,0.77991,0.00387,0.005725,0.005725,0.005725
11,158.621,1.09305,0.72511,0.0027,0.76327,0.76682,0.84146,0.59249,1.16151,1.0913,0.00402,0.00525,0.00525,0.00525
12,172.525,1.07804,0.7286,0.00263,0.81205,0.76359,0.86542,0.64869,1.01158,1.09775,0.00345,0.004775,0.004775,0.004775
13,186.4,1.04942,0.65923,0.00254,0.80837,0.76321,0.85663,0.6326,1.04622,0.84001,0.00358,0.0043,0.0043,0.0043
14,200.281,1.0061,0.61212,0.00242,0.82614,0.77412,0.87004,0.65076,0.99457,0.9027,0.00336,0.003825,0.003825,0.003825
15,214.18,0.99316,0.5881,0.00239,0.84322,0.79145,0.88063,0.67016,0.99093,0.6855,0.00337,0.00335,0.00335,0.00335
16,228.038,0.97323,0.58855,0.00238,0.81036,0.81947,0.88357,0.67758,0.9638,0.74761,0.00321,0.002875,0.002875,0.002875
17,241.941,0.95584,0.5767,0.0023,0.87534,0.80572,0.89945,0.70251,0.93944,0.63682,0.00311,0.0024,0.0024,0.0024
18,255.934,0.91973,0.55309,0.00216,0.83095,0.83723,0.90182,0.70141,0.91726,0.60049,0.00306,0.001925,0.001925,0.001925
19,270.014,0.91406,0.53628,0.00216,0.86045,0.83845,0.90959,0.71704,0.89058,0.56974,0.00292,0.00145,0.00145,0.00145
20,283.985,0.87282,0.51179,0.00212,0.85576,0.84903,0.91075,0.71938,0.88483,0.57499,0.00292,0.000975,0.000975,0.000975
