epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.9905,1.22108,1.73885,0.00277,0.8549,0.4526,0.69954,0.52359,1.06464,1.64829,0.00354,0.00034,0.00034,0.05034
2,31.4938,1.03373,0.76088,0.00226,0.7803,0.77049,0.84036,0.60706,1.05302,1.19989,0.00348,0.000673624,0.000673624,0.000673624
3,46.633,0.97494,0.68936,0.00208,0.77191,0.81112,0.85853,0.65074,0.91542,0.88042,0.00303,0.000667249,0.000667249,0.000667249
4,61.6296,0.9924,0.69321,0.00216,0.80372,0.77814,0.86501,0.64888,0.93387,0.9632,0.00317,0.000660873,0.000660873,0.000660873
5,77.3614,0.95131,0.62867,0.00198,0.84047,0.8528,0.91517,0.73047,0.81987,0.61071,0.0027,0.000654498,0.000654498,0.000654498
6,93.6216,0.91165,0.60451,0.00197,0.85209,0.81607,0.89658,0.70415,0.87182,0.68764,0.00293,0.000648122,0.000648122,0.000648122
7,108.198,0.94445,0.61985,0.00204,0.81179,0.83993,0.89783,0.70879,0.84729,0.66841,0.00279,0.000641746,0.000641746,0.000641746
8,123.886,0.91042,0.58168,0.00196,0.86473,0.85109,0.91485,0.72351,0.85217,0.58284,0.00284,0.000635371,0.000635371,0.000635371
9,138.609,0.92165,0.56705,0.00196,0.83277,0.84348,0.90726,0.70931,0.88427,0.6448,0.0029,0.000628995,0.000628995,0.000628995
10,152.98,0.90467,0.55696,0.00192,0.86838,0.84412,0.91436,0.71148,0.88653,0.62163,0.00292,0.000622619,0.000622619,0.000622619
11,167.638,0.89245,0.54489,0.00191,0.86187,0.8435,0.92075,0.73684,0.82384,0.59831,0.0027,0.000616244,0.000616244,0.000616244
12,182.297,0.89076,0.53025,0.00189,0.86887,0.86226,0.92078,0.73152,0.83509,0.547,0.00275,0.000609868,0.000609868,0.000609868
13,196.825,0.89568,0.53699,0.00189,0.86664,0.85604,0.92135,0.72626,0.8597,0.59481,0.00283,0.000603493,0.000603493,0.000603493
14,211.269,0.87954,0.51399,0.00183,0.83854,0.82578,0.90079,0.70924,0.86126,0.67832,0.00282,0.000597117,0.000597117,0.000597117
15,225.688,0.88628,0.51704,0.00187,0.85888,0.83773,0.91389,0.73374,0.82423,0.55984,0.00269,0.000590741,0.000590741,0.000590741
16,240.113,0.88275,0.49688,0.00187,0.83864,0.81338,0.89948,0.71938,0.83268,0.70384,0.00276,0.000584366,0.000584366,0.000584366
17,254.6,0.85362,0.49264,0.00177,0.87774,0.85184,0.92673,0.74937,0.815,0.5479,0.00268,0.00057799,0.00057799,0.00057799
18,269.489,0.85197,0.49882,0.0018,0.81771,0.78606,0.88426,0.70403,0.85238,0.95411,0.00281,0.000571615,0.000571615,0.000571615
19,283.894,0.86005,0.49498,0.00182,0.88237,0.85389,0.92829,0.74466,0.82919,0.55141,0.00268,0.000565239,0.000565239,0.000565239
