epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,123.538,1.2935,1.49741,0.00881,0.88345,0.79406,0.88782,0.59915,1.2736,0.66702,0.01444,0.00066578,0.00066578,0.00066578
2,269.531,1.3481,0.92803,0.00928,0.88725,0.79965,0.89101,0.58663,1.3148,0.66748,0.01493,0.00131926,0.00131926,0.00131926
3,414.317,1.33626,0.88428,0.00914,0.88205,0.82606,0.90325,0.58921,1.35212,0.60917,0.01528,0.00195953,0.00195953,0.00195953
4,566.813,1.29086,0.8353,0.00873,0.88124,0.82755,0.90908,0.64503,1.15465,0.60116,0.0125,0.0019406,0.0019406,0.0019406
5,756.718,1.25701,0.79858,0.00853,0.84296,0.81538,0.88009,0.61206,1.20822,0.67464,0.0134,0.0019208,0.0019208,0.0019208
6,856.837,1.22618,0.76642,0.0085,0.88777,0.84854,0.92139,0.676,1.10785,0.52185,0.01202,0.001901,0.001901,0.001901
7,926.223,1.20727,0.73035,0.0079,0.8881,0.84483,0.92245,0.67646,1.09513,0.51349,0.01168,0.0018812,0.0018812,0.0018812
8,1006.18,1.18913,0.70366,0.00797,0.89016,0.86312,0.92925,0.6939,1.03286,0.49065,0.0112,0.0018614,0.0018614,0.0018614
9,1086.94,1.14987,0.69647,0.00765,0.89676,0.85307,0.92801,0.69332,1.03502,0.50929,0.01099,0.0018416,0.0018416,0.0018416
10,1154.73,1.13036,0.6679,0.00757,0.88559,0.86154,0.92944,0.70149,1.00816,0.45854,0.01073,0.0018218,0.0018218,0.0018218
11,1218.29,1.11706,0.65688,0.00735,0.89947,0.86893,0.93692,0.71552,1.00206,0.44308,0.01084,0.001802,0.001802,0.001802
12,1283.62,1.09353,0.63807,0.00719,0.91219,0.86796,0.93942,0.72483,0.96813,0.43564,0.01044,0.0017822,0.0017822,0.0017822
13,1349.48,1.08726,0.62844,0.00706,0.92154,0.87538,0.94452,0.72579,0.97017,0.41515,0.01032,0.0017624,0.0017624,0.0017624
14,1424.26,1.08421,0.6145,0.00696,0.91123,0.88047,0.94529,0.72198,0.98864,0.42509,0.01064,0.0017426,0.0017426,0.0017426
15,1490.9,1.06262,0.60574,0.00685,0.89919,0.88772,0.94687,0.72983,0.96784,0.42656,0.01019,0.0017228,0.0017228,0.0017228
16,1557.09,1.05907,0.58855,0.00676,0.91615,0.88084,0.94729,0.73634,0.94023,0.39822,0.01005,0.001703,0.001703,0.001703
17,1634.17,1.03763,0.58605,0.00664,0.90702,0.88193,0.94487,0.74171,0.9077,0.39665,0.00946,0.0016832,0.0016832,0.0016832
18,1709.44,1.03361,0.57768,0.00664,0.90748,0.88826,0.94622,0.7427,0.9179,0.40895,0.0098,0.0016634,0.0016634,0.0016634
19,1777.3,1.02432,0.56535,0.00664,0.91325,0.88685,0.95096,0.75249,0.90114,0.38616,0.00945,0.0016436,0.0016436,0.0016436
20,1854.72,1.00987,0.56194,0.00646,0.91108,0.89022,0.95075,0.75512,0.88957,0.39068,0.00924,0.0016238,0.0016238,0.0016238
21,1930.05,1.01425,0.55901,0.00656,0.92046,0.88139,0.95043,0.74408,0.9156,0.39778,0.00975,0.001604,0.001604,0.001604
