frame_id,track_id,x,y,w,h,conf,class_id
1,1,982.47,480.84,51.99,40.25,1,0
1,2,586.80,428.57,38.79,27.19,1,0
1,1,1116.96,464.15,55.49,44.16,1,1
1,2,1058.25,469.03,64.19,49.83,1,1
1,3,1077.77,505.38,51.93,29.57,1,1
1,4,582.51,398.22,42.61,38.55,1,1
1,5,43.68,203.25,76.70,54.50,1,1
1,6,39.87,498.48,79.43,51.49,1,1
2,1,983.37,480.85,52.52,40.35,1,0
2,2,587.78,424.58,39.19,30.76,1,0
2,1,1115.70,462.84,58.45,44.94,1,1
2,2,1059.36,469.23,63.78,49.99,1,1
2,3,1078.23,504.81,52.44,30.37,1,1
2,4,581.94,396.81,44.19,39.81,1,1
2,5,45.15,202.87,77.80,55.78,1,1
2,6,40.26,495.46,82.51,54.59,1,1
3,1,985.05,481.83,52.84,40.13,1,0
3,2,589.96,427.02,38.51,28.71,1,0
3,1,1116.80,463.15,59.79,46.13,1,1
3,2,1060.60,470.21,64.18,49.94,1,1
3,3,1078.75,505.90,53.50,30.24,1,1
3,4,582.57,398.13,45.10,38.97,1,1
3,5,47.66,202.56,77.22,56.16,1,1
3,6,41.58,493.53,84.01,55.97,1,1
4,1,986.89,481.30,52.80,40.75,1,0
4,2,591.11,427.60,38.43,27.98,1,0
4,1,1118.40,463.06,59.23,45.95,1,1
4,2,1062.08,470.02,64.27,49.89,1,1
4,3,1080.02,504.91,53.56,31.27,1,1
4,4,588.42,397.85,40.18,38.89,1,1
4,5,50.61,202.36,76.31,56.68,1,1
4,6,45.36,493.22,82.32,55.93,1,1
5,1,988.25,480.39,52.31,41.20,1,0
5,2,590.73,426.48,40.11,29.03,1,0
5,1,1122.53,463.39,56.55,45.21,1,1
5,2,1063.30,469.03,64.36,49.76,1,1
5,3,1080.71,504.22,54.59,31.21,1,1
5,4,589.81,398.12,40.50,39.14,1,1
5,5,51.50,202.62,79.46,56.90,1,1
5,6,46.92,493.41,82.12,56.21,1,1
6,1,990.39,481.19,52.11,40.72,1,0
6,2,591.75,427.41,40.77,28.32,1,0
6,1,1123.94,463.35,57.02,44.75,1,1
6,2,1064.86,469.60,64.68,49.88,1,1
6,3,1084.85,504.52,52.92,31.38,1,1
6,5,53.92,203.91,79.04,55.01,1,1
6,6,51.13,494.10,79.60,55.64,1,1
7,1,991.95,481.51,52.56,40.47,1,0
7,2,595.81,426.66,39.80,28.75,1,0
7,1,1125.98,463.22,57.54,46.18,1,1
7,2,1067.89,469.64,63.95,49.88,1,1
7,3,1088.28,505.05,51.47,31.02,1,1
7,4,593.64,398.11,41.21,39.21,1,1
7,5,57.49,202.22,78.89,56.25,1,1
7,6,53.21,495.40,78.68,53.27,1,1
8,1,993.93,481.18,52.63,40.41,1,0
8,2,598.20,425.84,39.32,29.09,1,0
8,1,1126.98,464.57,57.92,44.22,1,1
8,2,1070.11,469.30,64.25,50.34,1,1
8,3,1089.20,504.61,52.60,30.94,1,1
8,4,596.39,395.66,40.41,41.02,1,1
8,5,60.79,201.66,77.71,55.66,1,1
8,6,56.33,495.13,80.44,53.58,1,1
9,1,995.97,480.89,51.94,40.53,1,0
9,2,599.03,425.80,40.09,30.06,1,0
9,1,1130.26,463.84,56.77,44.51,1,1
9,2,1071.94,469.13,64.78,50.54,1,1
9,3,1090.77,504.81,52.46,30.40,1,1
9,5,62.86,203.19,78.73,55.30,1,1
9,6,58.80,497.57,80.26,52.63,1,1
10,1,998.04,481.05,52.89,40.52,1,0
10,2,599.66,424.21,41.79,31.42,1,0
10,1,1132.24,463.21,57.68,44.82,1,1
10,2,1074.37,469.21,64.60,50.40,1,1
10,3,1093.14,505.14,52.48,30.04,1,1
10,5,65.87,203.88,77.68,55.50,1,1
10,6,63.37,496.80,78.85,53.37,1,1
10,7,45.23,169.77,57.47,45.27,1,1
11,1,1001.53,480.47,53.50,41.65,1,0
11,2,604.90,425.04,40.18,30.30,1,0
11,1,1135.51,463.04,58.39,45.45,1,1
11,2,1077.61,469.56,64.69,50.24,1,1
11,3,1095.34,505.82,53.14,29.41,1,1
11,4,602.56,398.27,41.60,39.13,1,1
11,5,70.00,202.56,79.34,55.61,1,1
11,6,67.45,496.25,78.54,52.46,1,1
11,7,49.60,169.41,57.65,46.04,1,1
11,8,144.27,192.28,58.55,47.84,1,1
12,1,1005.48,480.44,52.76,41.39,1,0
12,2,608.04,427.79,39.87,27.44,1,0
12,1,1139.68,461.62,57.55,46.82,1,1
12,2,1080.57,469.26,65.52,50.52,1,1
12,3,1099.37,505.09,53.23,29.46,1,1
12,4,605.49,395.82,43.38,41.63,1,1
12,5,75.69,202.08,79.99,56.23,1,1
12,6,72.91,495.18,78.87,53.48,1,1
13,1,1008.74,480.64,53.52,40.75,1,0
13,2,610.44,427.78,40.90,28.32,1,0
13,1,1141.34,461.30,59.61,46.99,1,1
13,2,1084.73,469.19,65.45,49.92,1,1
13,3,1104.84,504.85,51.89,29.33,1,1
13,4,608.51,396.34,43.66,41.39,1,1
13,5,80.42,204.58,79.97,55.45,1,1
13,6,78.50,494.93,77.44,55.12,1,1
13,7,58.74,169.45,58.63,47.47,1,1
13,8,151.27,190.63,60.11,50.47,1,1
14,1,1013.16,480.01,53.91,40.90,1,0
14,2,615.20,425.99,41.28,29.72,1,0
14,1,1146.29,460.01,60.77,47.44,1,1
14,2,1089.89,468.63,65.57,50.49,1,1
14,3,1108.41,505.06,52.74,28.73,1,1
14,4,614.10,395.43,42.92,41.86,1,1
14,5,86.34,205.12,79.27,55.39,1,1
14,6,85.56,495.16,76.68,54.70,1,1
14,7,64.85,169.45,58.81,47.95,1,1
14,8,155.79,191.45,59.42,49.36,1,1
15,1,1020.28,480.59,53.11,40.81,1,0
15,2,622.75,428.14,39.85,27.27,1,0
15,1,1154.81,460.16,58.08,47.77,1,1
15,2,1095.66,468.89,66.00,49.98,1,1
15,3,1112.97,506.91,53.29,27.11,1,1
15,4,621.86,395.68,41.56,41.95,1,1
15,5,94.69,203.79,77.55,56.22,1,1
15,6,93.81,496.38,76.08,52.10,1,1
15,7,73.04,169.13,56.20,46.38,1,1
15,8,163.45,189.71,55.94,50.39,1,1
16,1,1026.20,480.97,53.39,40.61,1,0
16,2,628.13,425.95,41.00,29.63,1,0
16,1,1162.28,459.32,58.08,49.01,1,1
16,2,1103.21,469.18,66.17,50.63,1,1
16,3,1120.69,505.98,54.24,28.89,1,1
16,4,628.55,395.36,41.80,41.54,1,1
16,5,103.89,204.29,79.17,56.30,1,1
16,6,103.53,493.28,75.65,55.97,1,1
16,7,82.32,169.60,56.34,47.72,1,1
16,8,172.57,189.72,57.42,51.54,1,1
17,1,1033.81,479.80,53.61,40.53,1,0
17,2,633.59,424.42,41.40,30.55,1,0
17,1,1169.95,461.37,57.52,45.57,1,1
17,2,1109.80,468.53,66.13,49.67,1,1
17,3,1126.07,505.03,54.54,28.30,1,1
17,4,635.48,397.01,41.54,39.74,1,1
17,5,113.03,202.94,76.01,55.52,1,1
17,6,112.57,493.12,73.89,55.10,1,1
17,7,90.22,167.83,60.88,48.10,1,1
17,8,178.39,189.52,60.21,49.46,1,1
18,1,1041.37,479.95,53.43,40.04,1,0
18,2,641.54,427.19,40.40,27.57,1,0
18,3,388.80,446.05,43.57,48.58,1,0
18,1,1176.90,459.83,58.70,46.35,1,1
18,2,1117.87,467.95,66.14,49.56,1,1
18,3,1135.19,504.59,53.01,28.63,1,1
18,4,642.62,397.24,42.49,39.14,1,1
18,5,122.10,204.01,76.66,55.60,1,1
18,6,121.03,494.36,75.96,53.86,1,1
18,7,99.72,168.06,54.33,49.09,1,1
18,8,190.08,190.17,59.10,51.09,1,1
19,1,1049.56,480.31,53.39,40.24,1,0
19,2,647.44,423.39,42.55,31.96,1,0
19,3,400.53,448.07,39.01,46.89,1,0
19,1,1185.66,461.46,58.25,45.71,1,1
19,2,1125.31,468.87,66.56,48.94,1,1
19,3,1140.40,505.88,55.26,27.74,1,1
19,4,651.23,397.07,41.15,39.57,1,1
19,5,133.67,204.71,74.22,54.48,1,1
19,6,133.19,492.88,73.55,55.15,1,1
19,7,109.45,169.91,61.80,49.35,1,1
19,8,199.44,190.96,58.06,50.41,1,1
20,1,1057.81,480.27,53.54,40.15,1,0
20,2,654.84,423.42,43.67,31.05,1,0
20,1,1193.77,460.17,58.96,47.10,1,1
20,2,1134.07,468.45,66.99,49.42,1,1
20,3,1150.77,505.29,53.51,28.49,1,1
20,4,660.02,398.19,41.87,37.76,1,1
20,5,145.76,204.87,71.90,54.26,1,1
20,6,145.05,494.71,71.95,52.18,1,1
20,7,123.19,169.53,63.85,47.77,1,1
20,8,207.60,189.62,58.15,51.54,1,1
21,1,1066.77,481.11,52.64,40.06,1,0
21,2,662.62,423.32,43.26,31.77,1,0
21,1,1201.23,462.31,60.78,45.90,1,1
21,2,1142.02,469.47,67.44,49.64,1,1
21,3,1156.64,507.33,56.39,27.23,1,1
21,4,668.73,397.40,40.97,39.11,1,1
21,5,156.74,203.88,73.07,55.61,1,1
21,6,157.11,497.58,69.39,50.31,1,1
21,7,132.27,168.39,65.13,50.08,1,1
21,8,219.42,189.09,55.68,52.49,1,1
21,9,362.93,468.34,42.20,36.33,1,1
22,1,1074.50,480.91,53.31,39.64,1,0
22,2,671.51,424.30,41.99,31.12,1,0
22,1,1210.62,462.71,60.15,45.35,1,1
22,2,1149.90,469.27,67.93,49.05,1,1
22,3,1166.32,505.32,55.33,28.67,1,1
22,4,676.15,398.11,41.59,38.86,1,1
22,5,167.50,204.99,73.42,55.47,1,1
22,6,166.83,497.53,71.34,50.53,1,1
22,7,143.83,167.87,62.22,51.67,1,1
22,8,232.15,191.89,53.45,50.07,1,1
22,9,372.63,470.26,40.74,35.39,1,1
23,1,1084.10,481.39,51.91,40.14,1,0
23,2,678.84,421.83,42.99,33.92,1,0
23,1,1218.72,460.68,60.56,48.02,1,1
23,2,1157.76,469.30,68.92,49.97,1,1
23,3,1172.88,506.59,57.64,28.32,1,1
23,4,684.64,397.08,41.29,40.14,1,1
23,5,179.89,205.72,72.67,53.98,1,1
23,6,177.96,497.17,71.77,51.28,1,1
23,7,156.00,168.78,65.12,51.02,1,1
23,8,239.27,193.83,58.33,48.66,1,1
23,9,382.62,471.30,41.48,36.17,1,1
