epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.43047,2.34309,7.60375,2.20454,0.02634,0.50992,0.08792,0.06824,1.99259,7.68793,1.86145,0.00027,0.00027,0.00027
2,14.9552,2.24804,5.15182,2.01909,0.02832,0.50894,0.16247,0.1115,2.01776,7.18529,1.93954,0.000544555,0.000544555,0.000544555
3,20.8848,2.17537,4.0075,1.9903,0.54296,0.13215,0.28606,0.21292,1.97975,5.00708,1.86308,0.000813566,0.000813566,0.000813566
4,26.5377,2.04579,3.52936,1.95998,0.52223,0.29445,0.33667,0.26026,1.86387,3.7312,1.86193,0.0009703,0.0009703,0.0009703
5,32.2479,1.99468,3.21276,1.96629,0.37888,0.41551,0.32047,0.24439,1.94146,3.34118,1.95981,0.0009604,0.0009604,0.0009604
6,37.7879,1.88681,2.97025,1.9425,0.46563,0.48814,0.4074,0.31239,1.87386,2.94589,1.93733,0.0009505,0.0009505,0.0009505
7,43.0638,1.89006,2.85837,1.93794,0.49289,0.35802,0.3325,0.2578,1.85953,3.35044,1.93711,0.0009406,0.0009406,0.0009406
8,48.477,1.83639,2.64906,1.92335,0.54139,0.51747,0.51935,0.40543,1.80872,2.39931,1.90788,0.0009307,0.0009307,0.0009307
9,53.6092,1.85091,2.60918,1.91201,0.52156,0.57359,0.52874,0.41503,1.71515,2.45417,1.89632,0.0009208,0.0009208,0.0009208
10,58.3463,1.81275,2.56953,1.92235,0.57861,0.54506,0.55057,0.43444,1.71464,2.20777,1.88218,0.0009109,0.0009109,0.0009109
11,63.2936,1.82616,2.42823,1.91192,0.68707,0.58583,0.63741,0.51432,1.64557,1.90775,1.87056,0.000901,0.000901,0.000901
12,68.1369,1.77038,2.36785,1.90879,0.6185,0.60262,0.6388,0.51122,1.6277,1.98043,1.87104,0.0008911,0.0008911,0.0008911
13,72.8989,1.75134,2.20654,1.898,0.67444,0.61631,0.66515,0.54018,1.62217,1.84409,1.8687,0.0008812,0.0008812,0.0008812
14,77.5795,1.74337,2.21916,1.90051,0.65472,0.58326,0.62804,0.50695,1.62819,1.97689,1.87577,0.0008713,0.0008713,0.0008713
15,82.7838,1.74571,2.27345,1.89247,0.58497,0.60806,0.59637,0.47867,1.61315,2.0309,1.85911,0.0008614,0.0008614,0.0008614
16,87.4799,1.71249,2.15051,1.88329,0.61964,0.62482,0.63413,0.50842,1.59704,1.93887,1.86797,0.0008515,0.0008515,0.0008515
17,92.0713,1.68,2.09498,1.88055,0.61471,0.62398,0.64264,0.50452,1.6078,1.97591,1.86126,0.0008416,0.0008416,0.0008416
18,96.766,1.62855,1.95598,1.86286,0.6665,0.60034,0.66884,0.53806,1.61323,1.87917,1.86353,0.0008317,0.0008317,0.0008317
19,101.514,1.65206,1.93818,1.8636,0.60935,0.65453,0.6293,0.5006,1.62613,1.94037,1.85047,0.0008218,0.0008218,0.0008218
20,106.459,1.70302,1.89941,1.86898,0.64257,0.66107,0.69197,0.55749,1.63183,1.9106,1.8658,0.0008119,0.0008119,0.0008119
21,111.739,1.67897,1.8615,1.86985,0.66584,0.67183,0.70519,0.57402,1.57636,1.67033,1.85313,0.000802,0.000802,0.000802
22,117.035,1.64171,1.83666,1.86217,0.7119,0.66193,0.71867,0.58571,1.58496,1.5993,1.85388,0.0007921,0.0007921,0.0007921
23,122.726,1.61716,1.82237,1.86441,0.68903,0.62906,0.69769,0.57626,1.57868,1.73526,1.86038,0.0007822,0.0007822,0.0007822
24,128.373,1.66392,1.87534,1.86792,0.63928,0.63987,0.69029,0.55699,1.56776,2.0047,1.86717,0.0007723,0.0007723,0.0007723
25,133.759,1.62874,1.80277,1.85897,0.72148,0.62936,0.72875,0.59086,1.55016,1.58631,1.84681,0.0007624,0.0007624,0.0007624
26,139.182,1.62004,1.72694,1.86553,0.71069,0.63969,0.71562,0.57894,1.55615,1.67412,1.85657,0.0007525,0.0007525,0.0007525
27,144.386,1.62738,1.71917,1.85356,0.7548,0.63445,0.73224,0.60036,1.55111,1.60857,1.84309,0.0007426,0.0007426,0.0007426
28,149.488,1.5756,1.66884,1.8497,0.74519,0.6733,0.7568,0.6185,1.53812,1.52995,1.84646,0.0007327,0.0007327,0.0007327
29,154.691,1.6078,1.65736,1.83957,0.70505,0.66339,0.71657,0.59036,1.53966,1.62597,1.84424,0.0007228,0.0007228,0.0007228
30,160.163,1.55307,1.63079,1.84534,0.63578,0.61948,0.65066,0.52396,1.59756,1.83843,1.85318,0.0007129,0.0007129,0.0007129
31,166.041,1.56006,1.61968,1.84178,0.69515,0.64467,0.71482,0.5772,1.55958,1.55863,1.85939,0.000703,0.000703,0.000703
32,171.828,1.58225,1.63867,1.84677,0.68661,0.67297,0.74115,0.61667,1.50586,1.53533,1.84245,0.0006931,0.0006931,0.0006931
33,176.952,1.58473,1.63318,1.84423,0.71364,0.70288,0.74405,0.61155,1.52042,1.47158,1.83705,0.0006832,0.0006832,0.0006832
34,182.213,1.51953,1.54284,1.83391,0.7212,0.6889,0.75324,0.61466,1.51065,1.50036,1.83689,0.0006733,0.0006733,0.0006733
35,187.35,1.57279,1.57277,1.82604,0.70648,0.65025,0.72785,0.60029,1.52453,1.66806,1.83491,0.0006634,0.0006634,0.0006634
36,192.703,1.54701,1.55147,1.8457,0.69863,0.64228,0.72333,0.59405,1.5009,1.69318,1.82974,0.0006535,0.0006535,0.0006535
37,198.098,1.5691,1.54852,1.83202,0.72606,0.72048,0.77659,0.6355,1.52519,1.43665,1.84266,0.0006436,0.0006436,0.0006436
38,203.841,1.52124,1.47901,1.82165,0.73554,0.68134,0.75807,0.62198,1.49842,1.45874,1.82964,0.0006337,0.0006337,0.0006337
39,209.721,1.54055,1.48304,1.82118,0.75225,0.70074,0.77323,0.63489,1.52353,1.46398,1.84199,0.0006238,0.0006238,0.0006238
40,215.347,1.54685,1.47688,1.82799,0.75854,0.6897,0.78377,0.64498,1.49626,1.3857,1.82125,0.0006139,0.0006139,0.0006139
41,220.782,1.52203,1.46286,1.82464,0.73543,0.71174,0.7853,0.64605,1.50651,1.40324,1.82658,0.000604,0.000604,0.000604
42,226.168,1.51539,1.45771,1.82831,0.73611,0.67735,0.74795,0.61453,1.50453,1.5177,1.8331,0.0005941,0.0005941,0.0005941
43,231.661,1.52575,1.4479,1.81448,0.71097,0.69606,0.76032,0.62363,1.494,1.41898,1.82685,0.0005842,0.0005842,0.0005842
44,237.171,1.51512,1.38754,1.81558,0.7781,0.65691,0.7721,0.64399,1.51152,1.49971,1.83783,0.0005743,0.0005743,0.0005743
45,242.702,1.50851,1.36643,1.80767,0.68822,0.71832,0.74023,0.60911,1.48508,1.46618,1.82352,0.0005644,0.0005644,0.0005644
46,247.833,1.49299,1.36266,1.80442,0.7631,0.70261,0.78716,0.64626,1.49512,1.38679,1.83428,0.0005545,0.0005545,0.0005545
47,252.824,1.49978,1.36975,1.8136,0.74371,0.6895,0.77295,0.63734,1.46362,1.3924,1.8205,0.0005446,0.0005446,0.0005446
48,258.134,1.47684,1.35394,1.80881,0.78604,0.69014,0.78918,0.6559,1.46667,1.35644,1.82456,0.0005347,0.0005347,0.0005347
49,263.464,1.47091,1.32967,1.81479,0.73321,0.72825,0.78025,0.642,1.48241,1.37905,1.82596,0.0005248,0.0005248,0.0005248
