epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.91321,2.31525,7.24408,2.14504,0.02735,0.56005,0.10932,0.08088,1.92588,7.40311,1.85676,0.000325203,0.000325203,0.000325203
2,15.2689,2.21261,4.77247,2.00813,0.26041,0.4305,0.22857,0.15923,2.08217,5.44131,1.90035,0.000652017,0.000652017,0.000652017
3,21.2607,2.12888,3.85896,1.97008,0.3999,0.36441,0.30047,0.23352,1.94034,3.64113,1.91388,0.000972231,0.000972231,0.000972231
4,27.2456,2.04272,3.45651,1.99786,0.41887,0.45965,0.37519,0.28372,1.8868,2.88862,1.93273,0.0009703,0.0009703,0.0009703
5,32.9926,1.93947,3.25593,1.9714,0.43112,0.48961,0.41478,0.32167,1.76995,2.65455,1.94974,0.0009604,0.0009604,0.0009604
6,38.9576,1.98974,3.06728,1.96644,0.45902,0.56595,0.47431,0.36911,1.73291,2.50973,1.94393,0.0009505,0.0009505,0.0009505
7,45.1195,1.87372,2.7722,1.93182,0.51442,0.5801,0.53436,0.41319,1.71163,2.46441,1.88179,0.0009406,0.0009406,0.0009406
8,51.0242,1.87779,2.67267,1.93888,0.56013,0.54368,0.54238,0.42668,1.71884,2.41177,1.93741,0.0009307,0.0009307,0.0009307
9,57.1195,1.86022,2.54499,1.93315,0.58798,0.57626,0.59552,0.46263,1.74616,2.15343,1.96396,0.0009208,0.0009208,0.0009208
10,63.0841,1.78893,2.44973,1.92509,0.61288,0.57366,0.60522,0.47539,1.72827,2.22474,1.93705,0.0009109,0.0009109,0.0009109
11,69.0912,1.81202,2.48348,1.92659,0.61314,0.57439,0.61856,0.48901,1.67015,2.04148,1.92045,0.000901,0.000901,0.000901
12,76.1333,1.81584,2.37459,1.93039,0.57413,0.60409,0.58961,0.47198,1.66301,1.98017,1.92952,0.0008911,0.0008911,0.0008911
13,82.3914,1.74558,2.29039,1.9189,0.6355,0.61228,0.66139,0.52882,1.64769,1.97504,1.91208,0.0008812,0.0008812,0.0008812
14,88.6042,1.75288,2.27469,1.93124,0.59069,0.59699,0.6145,0.49,1.61275,2.01993,1.9049,0.0008713,0.0008713,0.0008713
15,94.6782,1.74968,2.23324,1.9194,0.64694,0.60857,0.6473,0.51154,1.62674,1.80335,1.90392,0.0008614,0.0008614,0.0008614
